
Tier,Part Name,Factory Name
1.1,Iron Ore,Iron Mine
1.2,Iron Ingot,Iron Smelter
1.3,Basic Widget,Widget Factory
2.1,Sand,Sand Pit
2.2,Glass,Glass Kiln
2.3,Gyroscope,Gyroscope Fabricator
2.4,Spinning Widget,Widget Spinner
3.1,Oil,Oil Field
3.2,Power (Oil),Oil Power Plant
3.3,Battery,Battery Assembler
3.4,Capacitor Widget,Capacitor Bank
4.1,Copper Ore,Copper Mine
4.2,Copper Ingot,Copper Forge
4.3,Plastic,Plastic Extractor
4.4,Circuit Board,Circuit Fab
4.5,Computational Widget,Computational Engine
5.1,Bottled Lightning,Tesla Coil
5.2,Thinking Core,Core Foundry
5.3,Integrated Widget,Integrator
6.1,Silicon,Silicon Extruder
6.2,Microprocessor,Processor Lab
6.3,Mainframe Widget,Mainframe Assembler
6.4,Human Remains,Graveyard
7.1,Uranium,Uranium Mine
7.2,Fuel Rod,Fuel Rod Assembler
7.3,Power (Nuclear),Nuclear Power Plant
7.4,Cloud Widget,Cloud Digitizer
8.1,Widget Particle,Widget Minitizers
8.2,Nanoprocessor,Nanoscale Lab
8.3,Portable Reactor,Reactor Foundry
8.4,Quantum Widget,Quantum Tunneler
8.5,Power (Remains),Incinerator
9.1,Helium,Helium Extractor
9.2,Superconductor,Conductor Foundry
9.3,AI Core,AI Laboratory
9.4,Unshackled Widget,AI Delimiter
10.1,AI Training Data,Training Center
10.2,Ascension Matrix,Data Transformer
10.3,Ascended Widget,Ascension Facility
11.1,Power (Perpetual),Perpetual Motion Engine
11.2,Sentience Core,Sentience Facility
11.3,Picoprocessor,Picoscale Lab
11.4,Sentient Widget,Sentience Aggregator
12.1,Processor Amalgamation,Omega Processor Lab
12.2,Core Amalgamation,Omega Core Foundry
12.3,Widget Amalgamation,Omega Widget Distiller
12.4,Omega Project Casing,Omega Casing Factory
12.5,Omega Project Shielding,Omega Shielding Plant
12.6,Omega Widget,Omega Project Assembler
13.1,Rocket Electronics,Rocket Electronics Lab
13.2,Rocket Fuel,Rocket Fuel Distiller
13.3,Rocket Hull,Rocket Part Assembler
13.4,Rocket Segment,Omega Launch Factory
